Project_ID,Project_year,Host_Country,HostInstitute,ZIPcode_Host,Host_city,project_start,Project_end,MainDisciplin,MainDiscNummer
121200,2008,GB,Department of Computing Imperial College,SW7 2BZ,London,01.05.2008,30.04.2009,"Philosophy, psychology",101
121205,2008,BE,Katholieke Universiteit Leuven,3000,Leuven,01.09.2008,31.05.2009,"Philosophy, psychology",101
121376,2008,DE,Deutsches Institut für Internationale Pädagogische Forschung DIPF,60486,Frankfurt a.M.,01.01.2009,31.12.2010,"Philosophy, psychology",101
121376,2008,DE,"Fakultät für Erziehungswissenschaft, Psychologie und Bewegungswissenschaft Universität Hamburg",20146,Hamburg,01.01.2009,31.12.2010,"Philosophy, psychology",101
121376,2008,CA,Institute for Studies in Education University of Toronto,M5S IV6,Toronto,01.01.2009,31.12.2010,"Philosophy, psychology",101
121437,2008,US,Department of Psychology University of Connecticut,06269-1020,Storrs,01.09.2008,31.08.2009,"Philosophy, psychology",101
121443,2008,US,Inst. for Res.on Education Policy & Practice Stanford School of Education Stanford University,94305,Standford,01.09.2008,31.05.2009,"Philosophy, psychology",101
121454,2008,DE,Septuaginta-Unternehmen Theologische Fakultät Universität Göttingen,37085,Göttingen,01.10.2008,30.09.2011,"Philosophy, psychology",101
121464,2008,SE,Dept. of Behavioural Sciences and Learning University of Linköping,SE-581 83,Linköping,01.08.2008,31.07.2010,"Philosophy, psychology",101
121521,2008,NO,Centre for the Study of Mind in Nature University of Oslo,315,Oslo,01.08.2008,31.07.2009,"Philosophy, psychology",101
122655,2008,BE,Katholieke Universiteit Leuven Heusserl-Archief te Leuven,3000,Leuven,01.10.2008,30.09.2009,"Philosophy, psychology",101
122713,2008,US,Div. of Intramural Research Programs National Institute of Mental Health,20892,Bethesda,01.09.2008,31.08.2009,"Philosophy, psychology",101
122716,2008,FR,"Ctre de recherche sens, éthique et société Centre national de la recherche scientifique",75270,Paris Cedex 06,01.09.2008,28.02.2010,"Philosophy, psychology",101
122716,2008,DE,Universität Tübingen Philosophisches Seminar,72070,Tübingen,01.09.2008,28.02.2010,"Philosophy, psychology",101
122783,2008,US,Department of Philosophy Columbia University,10027,New York,01.03.2009,31.08.2009,"Philosophy, psychology",101
123112,2008,IT,Istituto Svizzero di Roma,187,Roma,01.09.2008,31.08.2009,"Philosophy, psychology",101
123112,2008,DE,Seminar für Katholische Theologie Freie Universität Berlin,14195,Berlin,01.09.2008,31.08.2009,"Philosophy, psychology",101
123121,2008,SY,Institut français du Proche-Orient IFPO (ex-IFEAD),,Damaskus,01.12.2008,31.05.2009,"Philosophy, psychology",101
123157,2008,US,Developmental Medicine Center Children's Hospital Boston,2115,Boston,01.10.2008,30.09.2010,"Philosophy, psychology",101
123160,2008,US,Philosophy Department Georgetown University,20057,Washington,01.01.2009,31.08.2009,"Philosophy, psychology",101
123304,2008,US,Department of Brain and Cognitive Sciences Massachusetts Institute of Technology,02139-4307,Cambridge,01.09.2008,31.08.2010,"Philosophy, psychology",101
123313,2008,US,Department of Psychology Stanford University,94305,Standford,01.10.2008,31.07.2010,"Philosophy, psychology",101
123315,2008,IT,Division of Neuroscience San Raffaele Scientific Institute,20132,Milano,01.11.2008,30.04.2010,"Philosophy, psychology",101
123318,2008,US,School of Education Stanford University,94305-3096,Stanford,01.03.2009,28.02.2010,"Philosophy, psychology",101
123472,2008,JP,Graduate School of letters Dept. of Philosophy Kyoto University,606-8501,Kyoto,01.11.2008,31.10.2010,"Philosophy, psychology",101
123476,2008,US,University of Chicago The Divinity School,60637,Chicago,01.01.2009,31.12.2009,"Philosophy, psychology",101
123571,2008,GB,Department of Psychology University of York,Y010 5DD,York,01.10.2008,30.09.2009,"Philosophy, psychology",101
123598,2008,US,Center for the Philosophy of Science University of Pittsburgh,15260,Pittsburgh,01.09.2008,31.08.2009,"Philosophy, psychology",101
123652,2008,US,Department of Psychiatry University of Pennsylvania,19104-6074,Philadelphia,01.02.2009,31.01.2010,"Philosophy, psychology",101
123678,2008,US,University of Michigan at Ann Arbor School of Education,48109,Ann Arbor,01.10.2008,31.08.2009,"Philosophy, psychology",101
123684,2008,IT,Institut Suisse de Rome,187,Roma,01.09.2008,31.07.2009,"Philosophy, psychology",101
124102,2008,US,Counseling Psychology University of Wisconsin,53706,Madison,01.06.2009,31.05.2011,"Philosophy, psychology",101
124102,2008,US,Family Institute Northwestern University,60201,Evanston,01.06.2009,31.05.2011,"Philosophy, psychology",101
124124,2008,US,Department of Psychology New York University,10003,New York,01.07.2009,30.06.2011,"Philosophy, psychology",101
124128,2008,US,Department of Psychology University of Connecticut,06269-1020,Storrs,01.03.2009,28.02.2011,"Philosophy, psychology",101
124132,2008,US,Department of Classics University of Los Angeles,90025,Los Angeles,01.03.2009,30.04.2012,"Philosophy, psychology",101
124265,2008,GB,University of Wales Lampeter Dept. of Theology and Religious Studies,SA48 7ED,Lampeter,01.11.2008,31.10.2009,"Philosophy, psychology",101
124288,2008,EE,Department of History Faculty of Philosophy University Tartu,50090,Tartu,01.12.2008,30.09.2010,"Philosophy, psychology",101
124288,2008,SE,Fysiska Institutionen Uppsala Universitet,751 21,Uppsala,01.12.2008,30.09.2010,"Philosophy, psychology",101
124311,2008,FR,Centre de Recherches Historiques E.H.E.S.S.,75270,Paris,01.04.2009,31.03.2010,"Philosophy, psychology",101
124312,2008,DK,Soren Kierkegaard Forskningscenteret at Copenhagen University,1463,Kobenhavn K,01.01.2009,31.12.2009,"Philosophy, psychology",101
124434,2008,US,School of Education Stanford University,94305-3096,Stanford,01.08.2009,31.01.2010,"Philosophy, psychology",101
125233,2008,FR,Université de Paris I Panthéon-Sorbonne U.F.R. de Philosophie,75005,Paris Cedex 05,01.03.2009,31.07.2009,"Philosophy, psychology",101
125415,2008,US,Department of Psychology New York University,10003,New York,01.04.2009,30.09.2010,"Philosophy, psychology",101
125548,2008,DE,Evangelisch-theologische Fakultät Eberhard-Karls-Universität,72076,Tübingen,01.04.2009,30.06.2010,"Philosophy, psychology",101
125722,2009,GB,London School of Economics and Politcal Science (LSE),WC2A 2AR,London,01.10.2009,30.04.2010,"Philosophy, psychology",101
125836,2009,US,Department of Psychology New York University,10003,New York,01.10.2009,30.09.2010,"Philosophy, psychology",101
125914,2009,US,Department of Psychology Stanford University,94305,Standford,01.03.2010,29.02.2012,"Philosophy, psychology",101
125916,2009,GB,Faculty of Classics University of Cambridge,CB2 3BU,Cambridge,01.10.2009,30.09.2010,"Philosophy, psychology",101
125961,2009,GB,"Cognitive, Perceptual and Brain Sciences Division of Psychology & Language Sciences University College London",WC1H 0AP,London,01.10.2009,31.03.2011,"Philosophy, psychology",101
125972,2009,GB,University of Oxford Faculty of Philosophy,OX1 4JJ,Oxford,01.10.2009,30.09.2010,"Philosophy, psychology",101
126156,2009,US,Brain and Creativity Institute University of Southern California,90089-2520,Los Angeles,01.02.2010,31.10.2011,"Philosophy, psychology",101
126156,2009,US,Caltech Brain Imaging Center California Institute of Technology,91125,Pasadena,01.02.2010,31.10.2011,"Philosophy, psychology",101
126157,2009,GB,Department of Philosophy Université de Warwick,CV4 AL,Coventry,01.10.2009,30.09.2012,"Philosophy, psychology",101
126157,2009,US,Department of Philosophy University of California,94720-2390,Berkeley,01.10.2009,30.09.2012,"Philosophy, psychology",101
126157,2009,GB,Department of Philosophy University of Glasgow,G12 8QQ,Glasgow,01.10.2009,30.09.2012,"Philosophy, psychology",101
126160,2009,US,College of Education Department of Counselor Education Pennsylvenia State University,16802-3110,University Park,01.10.2009,30.09.2011,"Philosophy, psychology",101
