"","iso3","project_year","base_disciplin","N"
"1","ALB",2013,1,1
"2","ARG",2008,1,1
"3","ARG",2010,1,1
"4","ARG",2012,1,2
"5","ARG",2009,1,1
"6","ARG",2010,2,1
"7","ARG",2011,2,1
"8","ARG",2011,3,1
"9","AUT",2009,1,6
"10","AUT",2012,1,3
"11","AUT",2013,1,2
"12","AUT",2008,1,4
"13","AUT",2010,1,4
"14","AUT",2014,1,4
"15","AUT",2011,1,1
"16","AUT",2011,2,4
"17","AUT",2012,2,4
"18","AUT",2013,2,2
"19","AUT",2014,2,1
"20","AUT",2010,3,2
"21","AUT",2012,3,4
"22","AUT",2013,3,1
"23","AUT",2014,3,1
"24","AUT",2011,3,3
"25","AUS",2010,1,6
"26","AUS",2012,1,7
"27","AUS",2013,1,7
"28","AUS",2014,1,2
"29","AUS",2008,1,3
"30","AUS",2009,1,1
"31","AUS",2011,1,4
"32","AUS",2010,2,8
"33","AUS",2011,2,5
"34","AUS",2012,2,7
"35","AUS",2009,2,4
"36","AUS",2013,2,3
"37","AUS",2014,2,6
"38","AUS",2008,2,4
"39","AUS",2008,3,11
"40","AUS",2009,3,14
"41","AUS",2010,3,11
"42","AUS",2011,3,17
"43","AUS",2012,3,11
"44","AUS",2013,3,15
"45","AUS",2014,3,11
"46","BIH",2009,1,1
"47","BEL",2008,1,6
"48","BEL",2010,1,8
"49","BEL",2012,1,6
"50","BEL",2013,1,8
"51","BEL",2014,1,7
"52","BEL",2009,1,3
"53","BEL",2011,1,2
"54","BEL",2010,2,1
"55","BEL",2009,2,1
"56","BEL",2014,2,2
"57","BEL",2009,3,2
"58","BEL",2011,3,2
"59","BEL",2010,3,2
"60","BEL",2008,3,1
"61","BFA",2013,1,2
"62","BOL",2009,1,1
"63","BOL",2010,1,2
"64","BOL",2010,3,1
"65","BRA",2009,1,2
"66","BRA",2013,1,1
"67","BRA",2008,1,1
"68","BRA",2009,2,1
"69","BRA",2014,2,1
"70","BRA",2013,2,1
"71","BRA",2014,3,1
"72","CAN",2008,1,9
"73","CAN",2009,1,16
"74","CAN",2010,1,15
"75","CAN",2011,1,22
"76","CAN",2012,1,18
"77","CAN",2013,1,15
"78","CAN",2014,1,12
"79","CAN",2008,2,11
"80","CAN",2009,2,8
"81","CAN",2010,2,9
"82","CAN",2011,2,8
"83","CAN",2012,2,17
"84","CAN",2013,2,14
"85","CAN",2014,2,7
"86","CAN",2008,3,19
"87","CAN",2009,3,22
"88","CAN",2010,3,12
"89","CAN",2011,3,11
"90","CAN",2012,3,18
"91","CAN",2013,3,17
"92","CAN",2014,3,8
"93","COD",2012,1,1
"94","CHE",2009,1,13
"95","CHE",2010,1,5
"96","CHE",2011,1,8
"97","CHE",2012,1,4
"98","CHE",2013,1,9
"99","CHE",2014,1,7
"100","CHE",2008,1,1
"101","CHE",2010,2,1
"102","CHE",2014,2,3
"103","CHE",2009,2,5
"104","CHE",2011,2,2
"105","CHE",2013,2,1
"106","CHE",2008,2,1
"107","CHE",2012,2,2
"108","CHE",2008,3,3
"109","CHE",2009,3,10
"110","CHE",2012,3,2
"111","CHE",2014,3,8
"112","CHE",2010,3,2
"113","CHE",2011,3,1
"114","CHE",2013,3,1
"115","CHL",2011,1,2
"116","CHL",2014,1,1
"117","CHL",2009,1,1
"118","CHL",2008,2,1
"119","CHL",2010,2,1
"120","CHN",2008,1,1
"121","CHN",2010,1,3
"122","CHN",2013,1,2
"123","CHN",2014,1,3
"124","CHN",2014,2,1
"125","CHN",2011,3,1
"126","CHN",2012,3,1
"127","CHN",2008,3,1
"128","COL",2011,1,1
"129","CRI",2008,1,1
"130","CRI",2009,1,1
"131","CRI",2009,3,1
"132","CZE",2009,1,2
"133","CZE",2011,1,3
"134","CZE",2008,1,2
"135","CZE",2012,1,1
"136","DEU",2008,1,21
"137","DEU",2009,1,47
"138","DEU",2010,1,31
"139","DEU",2011,1,27
"140","DEU",2012,1,33
"141","DEU",2013,1,38
"142","DEU",2014,1,37
"143","DEU",2008,2,4
"144","DEU",2009,2,12
"145","DEU",2010,2,10
"146","DEU",2011,2,10
"147","DEU",2013,2,9
"148","DEU",2014,2,7
"149","DEU",2012,2,16
"150","DEU",2008,3,9
"151","DEU",2009,3,7
"152","DEU",2010,3,8
"153","DEU",2011,3,14
"154","DEU",2012,3,20
"155","DEU",2013,3,13
"156","DEU",2014,3,8
"157","DNK",2008,1,6
"158","DNK",2012,1,7
"159","DNK",2009,1,2
"160","DNK",2010,1,3
"161","DNK",2014,1,3
