"","iso2","country","iso_name","iso3","numcode","base_disciplin","project_id","project_year","host_institute","zipcode_host","host_city","project_start","project_end","main_disciplin","main_disc_nummer","project_length","base_disc_name"
"1","AL","Albania","ALBANIA","ALB",8,1,148453,2013,"Archäologisches Museum Korça Universität Korça","","korça",2013-09-01,2014-11-30,"Art studies",104,455,"Social Sciences"
"2","AR","Argentina","ARGENTINA","ARG",32,1,123687,2008,"Facultad de Derecho y Ciencias Sociales Universidad de Buenos Aires","C1425CKB","ciudad de buenos aires",2008-09-01,2009-11-30,"Social sciences",102,455,"Social Sciences"
"3","AR","Argentina","ARGENTINA","ARG",32,1,134137,2010,"Facultad de Derecho Universidad de Buenos Aires","1425","buenos aires",2011-04-01,2012-03-31,"Social sciences",102,365,"Social Sciences"
"4","AR","Argentina","ARGENTINA","ARG",32,1,142962,2012,"Center for Distributive, Labor & Social Stud Facultad de Ciencias Económicas Universidad de La Plata","1900","la plata",2012-08-01,2013-01-31,"Social sciences",102,183,"Social Sciences"
"5","AR","Argentina","ARGENTINA","ARG",32,1,142790,2012,"Universidad de Buenos Aires Facultad de Ciencias Economicas CEINLADI","C1120AAQ","buenos aires",2012-09-01,2013-08-31,"History",103,364,"Social Sciences"
"6","AR","Argentina","ARGENTINA","ARG",32,1,126162,2009,"Instituto Diversidad Cultural y Procesos Universidad Nacional de Río Negro","R8403BNH","san carlos de bariloche",2009-08-01,2013-04-30,"Art studies",104,1368,"Social Sciences"
"7","AR","Argentina","ARGENTINA","ARG",32,2,134353,2010,"Instituto de Investigaciones Fisicoquímicas Teóricas y Aplicadas INIFTA Universidad Nacional de La Plata","1900","la plata",2011-04-01,2012-06-30,"Chemistry",203,456,"Basic Sciences"
"8","AR","Argentina","ARGENTINA","ARG",32,2,139400,2011,"IANIGLA-CONICET","5500","mendoza",2012-01-01,2013-12-31,"Environmental sciences",207,730,"Basic Sciences"
"9","AR","Argentina","ARGENTINA","ARG",32,3,136987,2011,"Laboratory of Integrative Neuroscience (LNI) Department of Physics Faculty of Exact and Natural Sciences","1428","buenos aires",2012-10-01,2013-09-30,"Medical sciences",303,364,"Biology_Med"
"10","AT","Austria","AUSTRIA","AUT",40,1,127884,2009,"Institut für Bildungswissenschaft Universität Wien","1090","wien",2009-09-01,2010-08-31,"Philosophy, psychology",101,364,"Social Sciences"
"11","AT","Austria","AUSTRIA","AUT",40,1,147240,2012,"Institut für Psychologie Universität Wien","1010","wien",2013-02-01,2014-07-31,"Philosophy, psychology",101,545,"Social Sciences"
"12","AT","Austria","AUSTRIA","AUT",40,1,152056,2013,"Fachbereich Kunst-, Musik- und Tanzwissenschaft Universität Salzburg","5020","salzburg",2014-01-01,2014-09-30,"Philosophy, psychology",101,272,"Social Sciences"
"13","AT","Austria","AUSTRIA","AUT",40,1,124256,2008,"Institut für Strafrecht und Kriminologie Universität Wien","1010","wien",2008-12-01,2010-05-31,"Social sciences",102,546,"Social Sciences"
"14","AT","Austria","AUSTRIA","AUT",40,1,124256,2008,"Institut für Strafrecht und Kriminologie Universität Wien","1090","wien",2008-12-01,2010-05-31,"Social sciences",102,546,"Social Sciences"
"15","AT","Austria","AUSTRIA","AUT",40,1,126178,2009,"Universität Wien Institut für Sprachwissenschaft","1090","wien",2009-09-01,2010-08-31,"Social sciences",102,364,"Social Sciences"
"16","AT","Austria","AUSTRIA","AUT",40,1,130754,2009,"Institut für Psychologie Universität Wien","1010","wien",2009-11-01,2010-09-30,"Social sciences",102,333,"Social Sciences"
"17","AT","Austria","AUSTRIA","AUT",40,1,131523,2010,"Institut für Strafrecht und Kriminologie Rechtswissenschaftliche Fakultät Universität Wien","1010","wien",2011-02-01,2012-07-31,"Social sciences",102,546,"Social Sciences"
"18","AT","Austria","AUSTRIA","AUT",40,1,133287,2010,"Institut für österreichisches und Internationales Steuerrecht Wirtschaftsuniversität Wien","1090","wien",2010-09-01,2011-06-30,"Social sciences",102,302,"Social Sciences"
"19","AT","Austria","AUSTRIA","AUT",40,1,154573,2014,"Institut für Zeitgeschichte Unversität Wien","1090","wien",2014-09-01,2018-05-31,"History",103,1368,"Social Sciences"
"20","AT","Austria","AUSTRIA","AUT",40,1,123298,2008,"Institut für Kultur- und Sozialanthropologie Universität Wien","1010","wien",2009-03-01,2010-06-30,"Art studies",104,486,"Social Sciences"
"21","AT","Austria","AUSTRIA","AUT",40,1,125721,2009,"Bauforschung und Denkmalpflege Institut für Architektur- & Kunstgeschichte Technische Universität Wien","1040","wien",2009-07-01,2010-06-30,"Art studies",104,364,"Social Sciences"
"22","AT","Austria","AUSTRIA","AUT",40,1,135984,2010,"Akademie der bildenden Künste Wien","1010","wien",2011-03-01,2012-02-29,"Art studies",104,365,"Social Sciences"
"23","AT","Austria","AUSTRIA","AUT",40,1,151803,2013,"IES Abroad Vienna","1010","vienna",2014-01-01,2015-06-30,"Art studies",104,545,"Social Sciences"
"24","AT","Austria","AUSTRIA","AUT",40,1,155186,2014,"Kunsthistorisches Museum","1010","wien",2015-01-01,2016-06-30,"Art studies",104,546,"Social Sciences"
"25","AT","Austria","AUSTRIA","AUT",40,1,123659,2008,"Alpen-Adria-Universität Klagenfurt Robert Musil-Institut für Literaturforschung","9020","klagenfurt",2008-09-01,2009-08-31,"Linguistics",105,364,"Social Sciences"
"26","AT","Austria","AUSTRIA","AUT",40,1,126166,2009,"Allgemeine Literaturwissenschaft Universität Wien","1010","wien",2010-06-01,2011-11-30,"Linguistics",105,547,"Social Sciences"
"27","AT","Austria","AUSTRIA","AUT",40,1,130948,2009,"Institut für Germanistik Universität Wien","1010","wien",2010-01-01,2010-12-31,"Linguistics",105,364,"Social Sciences"
"28","AT","Austria","AUSTRIA","AUT",40,1,134279,2010,"Abt. vergleichende Literaturwissenschaft Institut für Sprache und Literaturen Universität Innsbruck","6020","innsbruck",2011-01-01,2011-12-31,"Linguistics",105,364,"Social Sciences"
"29","AT","Austria","AUSTRIA","AUT",40,1,139389,2011,"Institut für Sprachwissenschaft Universität Wien","1090","wien",2011-10-01,2012-09-30,"Linguistics",105,365,"Social Sciences"
"30","AT","Austria","AUSTRIA","AUT",40,1,146799,2012,"Fachbereich Germanistik  Universität Salzburg","A-5020","salzburg",2013-03-01,2013-11-30,"Linguistics",105,274,"Social Sciences"
"31","AT","Austria","AUSTRIA","AUT",40,1,147301,2012,"Institut für Germanistik Universität Wien","1010","wien",2013-05-01,2013-10-31,"Linguistics",105,183,"Social Sciences"
"32","AT","Austria","AUSTRIA","AUT",40,1,155393,2014,"Institut für Theater-, Film- und Medienwissenschaft Universität Wien","1010","wien",2014-09-01,2015-06-30,"Linguistics",105,302,"Social Sciences"
"33","AT","Austria","AUSTRIA","AUT",40,1,155071,2014,"Akademie der bildenden Künste Wien","1010","wien",2014-09-01,2015-08-31,"Other humanities",106,364,"Social Sciences"
"34","AT","Austria","AUSTRIA","AUT",40,2,137313,2011,"Fakultät für Mathematik Universität Wien","1090","wien",2011-08-01,2012-07-31,"Mathematik",201,365,"Basic Sciences"
"35","AT","Austria","AUSTRIA","AUT",40,2,139813,2011,"Institut für Astronomie Universitätssternwarte Wien","1180","wien",2012-09-01,2013-08-31,"Astronomy",202,364,"Basic Sciences"
"36","AT","Austria","AUSTRIA","AUT",40,2,146174,2012,"Institut für Anorganische Chemie Universität Wien","1060","wien",2013-02-01,2014-07-31,"Chemistry",203,545,"Basic Sciences"
"37","AT","Austria","AUSTRIA","AUT",40,2,146174,2012,"Institut für Anorganische Chemie Universität Wien","1090","wien",2013-02-01,2014-07-31,"Chemistry",203,545,"Basic Sciences"
"38","AT","Austria","AUSTRIA","AUT",40,2,151964,2013,"Universität Innsbruck","6020","innsbruck",2014-09-01,2016-02-29,"Physics",204,546,"Basic Sciences"
"39","AT","Austria","AUSTRIA","AUT",40,2,140129,2011,"Center for Integrative Bioinformatics Vienna","1030","wien",2012-08-01,2013-07-31,"Engineering",205,364,"Basic Sciences"
"40","AT","Austria","AUSTRIA","AUT",40,2,141107,2011,"Institute of Science and Technology Austria IST Austria","3400","klosterneuburg",2012-01-01,2012-04-30,"Engineering",205,120,"Basic Sciences"
"41","AT","Austria","AUSTRIA","AUT",40,2,142337,2012,"Information Systems Institute Vienna University of Technology","1040","wien",2012-11-01,2014-04-30,"Engineering",205,545,"Basic Sciences"
"42","AT","Austria","AUSTRIA","AUT",40,2,143468,2012,"Institut für Photonik Technische Universität Wien","1040","wien",2012-10-01,2014-03-31,"Engineering",205,546,"Basic Sciences"
"43","AT","Austria","AUSTRIA","AUT",40,2,148797,2013,"Institute of Science and Technology Austria IST Austria","3400","klosterneuburg",2013-10-01,2015-03-31,"Engineering",205,546,"Basic Sciences"
"44","AT","Austria","AUSTRIA","AUT",40,2,155598,2014,"Departement für Umweltgeowissenschaften Universität Wien","1090","wien",2014-09-01,2016-02-29,"Environmental sciences",207,546,"Basic Sciences"
"45","AT","Austria","AUSTRIA","AUT",40,3,135982,2010,"IMBA Inst. für Molekulare Biotechnologie GmbH","1030","wien",2011-02-01,2012-01-31,"Basic Biology",301,364,"Biology_Med"
"46","AT","Austria","AUSTRIA","AUT",40,3,145706,2012,"Max F. Perutz Laboratories Universität Wien und Medizinische Universität Wien","1030","wien",2013-05-01,2014-04-30,"Basic Biology",301,364,"Biology_Med"
"47","AT","Austria","AUSTRIA","AUT",40,3,147897,2013,"Forschungszentrum für Molekulare Medizin der Österr. Akademie der Wissenschaften","1090","wien",2013-08-01,2015-07-31,"Basic Biology",301,729,"Biology_Med"
"48","AT","Austria","AUSTRIA","AUT",40,3,154613,2014,"Institute of Mathematics University of Vienna","1090","vienna",2014-09-01,2016-08-31,"Basic Biology",301,730,"Biology_Med"
"49","AT","Austria","AUSTRIA","AUT",40,3,132801,2010,"Konrad Lorenz Institute of Ethology Austrian Academy of Sciences","1160","wien",2010-08-01,2012-01-31,"General Biology",302,548,"Biology_Med"
"50","AT","Austria","AUSTRIA","AUT",40,3,140190,2011,"Konrad-Lorenz-Institut für Vergleichende Verhaltensforschung","1160","wien",2012-02-01,2012-07-31,"General Biology",302,181,"Biology_Med"
"51","AT","Austria","AUSTRIA","AUT",40,3,146503,2012,"Universität Innsbruck","6020","innsbruck",2013-01-01,2013-06-30,"General Biology",302,180,"Biology_Med"
"52","AT","Austria","AUSTRIA","AUT",40,3,138718,2011,"Institute of Science and Technology","3400","klosterneuburg",2011-07-01,2012-12-31,"Medical sciences",303,549,"Biology_Med"
"53","AT","Austria","AUSTRIA","AUT",40,3,140017,2011,"Department of Radiology Medical University of Vienna","1090","wien",2012-02-01,2013-07-31,"Experimental medicine",304,546,"Biology_Med"
"54","AT","Austria","AUSTRIA","AUT",40,3,145993,2012,"IMBA Inst. für Molekulare Biotechnologie GmbH","1030","wien",2013-01-01,2013-12-31,"Experimental medicine",304,364,"Biology_Med"
"55","AT","Austria","AUSTRIA","AUT",40,3,146570,2012,"Forschungszentrum für Molekulare Medizin der Österr. Akademie der Wissenschaften","1090","wien",2013-01-01,2014-06-30,"Experimental medicine",304,545,"Biology_Med"
"56","AU","Australia","AUSTRALIA","AUS",36,1,131474,2010,"Department of Psychology School of Behavioural Science University of Melbourne","3010","parkville",2010-09-01,2012-02-29,"Philosophy, psychology",101,546,"Social Sciences"
"57","AU","Australia","AUSTRALIA","AUS",36,1,131474,2010,"School of Psychology Flinders University","5001","adelaide",2010-09-01,2012-02-29,"Philosophy, psychology",101,546,"Social Sciences"
"58","AU","Australia","AUSTRALIA","AUS",36,1,143796,2012,"Philosophy Program Research School of Social Sciences Australian National University","200","canberra",2012-09-01,2013-08-31,"Philosophy, psychology",101,364,"Social Sciences"
"59","AU","Australia","AUSTRALIA","AUS",36,1,144848,2012,"Clinical Neuroscience The Sansom Institute for Health Research University of South Australia","5001","adelaide",2013-08-01,2015-01-31,"Philosophy, psychology",101,548,"Social Sciences"
"60","AU","Australia","AUSTRALIA","AUS",36,1,148546,2013,"Centre for Applied Philosophy and Public Ethics / Department of Philosophy University of Melbourne (UM)","VIC 3010","melbourne",2013-10-01,2014-09-30,"Philosophy, psychology",101,364,"Social Sciences"
"61","AU","Australia","AUSTRALIA","AUS",36,1,148710,2013,"Population Mental Health Group Melbourne School of Population Health University of Melbourne","","victoria 3010",2013-11-01,2015-04-30,"Philosophy, psychology",101,545,"Social Sciences"
"62","AU","Australia","AUSTRALIA","AUS",36,1,155542,2014,"University of Newcastle Faculty of Medicine and Health Sciences","2308","callaghan",2014-10-01,2015-09-30,"Philosophy, psychology",101,364,"Social Sciences"
"63","AU","Australia","AUSTRALIA","AUS",36,1,123705,2008,"College of Fine Arts University of New South Wales","2021","paddington",2009-04-01,2010-07-31,"Social sciences",102,486,"Social Sciences"
"64","AU","Australia","AUSTRALIA","AUS",36,1,124258,2008,"School of Business The University of New South Wales","2052","sydney",2009-02-01,2009-07-31,"Social sciences",102,180,"Social Sciences"
"65","AU","Australia","AUSTRALIA","AUS",36,1,125602,2008,"Institute of Transport Studies Graduate School of Business The University of Sydney","2006","sydney",2009-02-01,2010-01-31,"Social sciences",102,364,"Social Sciences"
"66","AU","Australia","AUSTRALIA","AUS",36,1,128195,2009,"University of Sydney Faculty of Law","2000","sydney",2009-07-01,2010-06-30,"Social sciences",102,364,"Social Sciences"
"67","AU","Australia","AUSTRALIA","AUS",36,1,131434,2010,"Faculty of Law University of Tasmania","7001","hobart",2010-09-01,2011-08-31,"Social sciences",102,364,"Social Sciences"
"68","AU","Australia","AUSTRALIA","AUS",36,1,133627,2010,"School of Accounting and Business Information Systems Australian National University","200","canberra",2011-01-01,2011-09-30,"Social sciences",102,272,"Social Sciences"
"69","AU","Australia","AUSTRALIA","AUS",36,1,133867,2010,"IIBSR Institute for Innovation in Business and Social Research University of Wollongong","2522","wollongong",2011-02-01,2012-05-31,"Social sciences",102,485,"Social Sciences"
"70","AU","Australia","AUSTRALIA","AUS",36,1,135954,2010,"Faculty of Law/School of Law University of New South Wales","2052","sydney",2011-02-01,2011-07-31,"Social sciences",102,180,"Social Sciences"
"71","AU","Australia","AUSTRALIA","AUS",36,1,136285,2011,"IPRIA Intellectual Property Research Institute of Australia University of Melbourne","3010","parkville",2011-05-01,2012-04-30,"Social sciences",102,365,"Social Sciences"
