"","base_disciplin","year","month","numcode","N","date"
"1",1,2008,1,8,0,2008-01-01
"2",1,2008,1,32,0,2008-01-01
"3",1,2008,1,36,0,2008-01-01
"4",1,2008,1,40,0,2008-01-01
"5",1,2008,1,56,0,2008-01-01
"6",1,2008,1,68,0,2008-01-01
"7",1,2008,1,70,0,2008-01-01
"8",1,2008,1,76,0,2008-01-01
"9",1,2008,1,116,0,2008-01-01
"10",1,2008,1,124,0,2008-01-01
"11",1,2008,1,152,0,2008-01-01
"12",1,2008,1,156,0,2008-01-01
"13",1,2008,1,158,0,2008-01-01
"14",1,2008,1,170,0,2008-01-01
"15",1,2008,1,180,0,2008-01-01
"16",1,2008,1,188,0,2008-01-01
"17",1,2008,1,191,0,2008-01-01
"18",1,2008,1,203,0,2008-01-01
"19",1,2008,1,208,0,2008-01-01
"20",1,2008,1,218,0,2008-01-01
"21",1,2008,1,231,0,2008-01-01
"22",1,2008,1,233,0,2008-01-01
"23",1,2008,1,246,0,2008-01-01
"24",1,2008,1,250,0,2008-01-01
"25",1,2008,1,276,0,2008-01-01
"26",1,2008,1,288,0,2008-01-01
"27",1,2008,1,300,0,2008-01-01
"28",1,2008,1,344,0,2008-01-01
"29",1,2008,1,348,0,2008-01-01
"30",1,2008,1,352,0,2008-01-01
"31",1,2008,1,356,0,2008-01-01
"32",1,2008,1,360,0,2008-01-01
"33",1,2008,1,372,0,2008-01-01
"34",1,2008,1,376,0,2008-01-01
"35",1,2008,1,380,0,2008-01-01
"36",1,2008,1,392,0,2008-01-01
"37",1,2008,1,400,0,2008-01-01
"38",1,2008,1,404,0,2008-01-01
"39",1,2008,1,410,0,2008-01-01
"40",1,2008,1,422,0,2008-01-01
"41",1,2008,1,442,0,2008-01-01
"42",1,2008,1,450,0,2008-01-01
"43",1,2008,1,484,0,2008-01-01
"44",1,2008,1,504,0,2008-01-01
"45",1,2008,1,524,0,2008-01-01
"46",1,2008,1,528,0,2008-01-01
"47",1,2008,1,554,0,2008-01-01
"48",1,2008,1,562,0,2008-01-01
"49",1,2008,1,578,0,2008-01-01
